"Date","Open","High","Low","Close"
"10 Dec 2021","38287.15","38337.4","37986.85","38189.55"
"09 Dec 2021","37632.75","38264.3","37511.55","38201.65"
"08 Dec 2021","37200.8","37695.8","37200.8","37659.95"
"07 Dec 2021","37078.3","37347.05","36907.1","37175.85"
"06 Dec 2021","37527.55","37629.15","36745.3","36821.85"
"03 Dec 2021","37843.25","37896.9","37473.75","37498.10"
"02 Dec 2021","37547.45","37930.3","37434.8","37892.60"
"01 Dec 2021","37612.35","37727.45","37341.85","37457.85"
"30 Nov 2021","37276.15","37769.45","37275.05","37386.95"
"29 Nov 2021","37359.05","37463.7","36808.7","37324.85"
"26 Nov 2021","38050.55","38097.2","37457.85","37547.15"
"25 Nov 2021","38206.05","38307.85","37837.95","38259.75"
"24 Nov 2021","38677.9","38683.95","38066.65","38178.20"
"23 Nov 2021","38190.05","38619.95","38059.9","38560.10"
"22 Nov 2021","38998.7","39026.25","38147.05","38351.65"
"18 Nov 2021","39042.75","39204.6","38646.25","38866.50"
"17 Nov 2021","38992.5","39346.65","38953.4","39013.45"
"16 Nov 2021","39396.4","39407.15","38951.9","39014.65"
"15 Nov 2021","39014.75","39353.7","38937.85","39278.30"
"12 Nov 2021","38743.9","38997.75","38587.45","38912.75"
"11 Nov 2021","38922.85","38922.85","38419.3","38542.55"
"10 Nov 2021","38808.95","39018.3","38709.9","38917.35"
"09 Nov 2021","39064.2","39126.35","38860.95","38964.25"
"08 Nov 2021","39045.6","39141.05","38434.65","39094.75"
"04 Nov 2021","38695.6","38769.1","38627.7","38710.10"
"03 Nov 2021","38762.65","38780.8","38146.95","38370.10"
"02 Nov 2021","38758.65","38875.45","38499.65","38616.20"
"01 Nov 2021","38383.6","38733.95","38082.45","38663.65"
"29 Oct 2021","38253.8","38451.8","37878.85","38222.10"
"28 Oct 2021","38899.3","38966.55","38098.3","38208.55"
"27 Oct 2021","39090.55","39177.5","38845.55","38946.10"
"26 Oct 2021","38569.25","38955.2","38426.15","38826.85"
"25 Oct 2021","38774.5","38849.45","38028.5","38491.00"
"22 Oct 2021","39502.9","39684.05","38563.65","38874.80"
"21 Oct 2021","40008.35","40035.65","39163.8","39354.45"
"20 Oct 2021","40343.35","40593.1","39589.4","39696.35"
"19 Oct 2021","41653.35","41704.5","40171.3","40237.30"
"18 Oct 2021","42021.45","42021.45","41488","41564.15"
"14 Oct 2021","41446.2","41789.3","41277.35","41377.20"
"13 Oct 2021","41004.15","41244.25","40697.3","41149.40"
"12 Oct 2021","40262.6","40892.6","40239.25","40808.75"
"11 Oct 2021","40070.25","40434.05","40061.9","40318.05"
"08 Oct 2021","40363.3","40399.5","39915","39993.35"
"07 Oct 2021","40399.25","40480.55","40210.55","40226.40"
"06 Oct 2021","40496.85","40754.45","40079.9","40167.45"
"05 Oct 2021","40440.55","40606.45","40373.6","40427.50"
"04 Oct 2021","40465.45","40686","40319.4","40445.45"
"01 Oct 2021","40400.85","40465.85","40036.45","40399.00"
"30 Sep 2021","40558.65","40646.55","40338.4","40426.55"
"29 Sep 2021","40570.05","40830.7","40413.65","40472.15"
"28 Sep 2021","40872.15","41085.9","40537.8","40682.95"
"27 Sep 2021","41268.2","41273","40657.85","40720.60"
"24 Sep 2021","41614.4","41649.05","41034.6","41090.90"
"23 Sep 2021","41743.45","41775.75","41502.05","41548.80"
"22 Sep 2021","41801.8","41821.9","41429.85","41507.25"
"21 Sep 2021","41239.4","41676.8","41108.2","41619.95"
"20 Sep 2021","40716.35","41535","40631.95","41169.70"
"17 Sep 2021","41187.35","41406.1","40704.1","40798.90"
"16 Sep 2021","40494.25","41402.3","40453.7","41007.60"
"15 Sep 2021","40626.85","40645.4","40404.3","40504.50"
"14 Sep 2021","40718.8","40750.6","40444.05","40469.55"
"13 Sep 2021","40569.9","40754.8","40474.65","40592.35"
"09 Sep 2021","40122","40610.4","40120.3","40577.95"
"08 Sep 2021","40377.55","40434.7","39910.7","40263.45"
"07 Sep 2021","40296.35","40642.65","40237.85","40289.85"
"06 Sep 2021","40388.1","40514","40130.85","40169.05"
"03 Sep 2021","40371.15","40441.85","40103.1","40226.25"
"02 Sep 2021","39713.55","40323.65","39648.8","40296.40"
"01 Sep 2021","39701.45","39821.15","39464.9","39644.70"
"31 Aug 2021","39168.55","39615","39105.7","39529.70"
"30 Aug 2021","38945.15","39172.95","38915.4","39150.20"
"27 Aug 2021","38743.25","38884.55","38549.15","38819.50"
"26 Aug 2021","38403.5","38864.2","38398.75","38670.70"
"25 Aug 2021","38271.7","38663.3","38264.3","38448.10"
"24 Aug 2021","38578.85","38675.05","38124.6","38232.80"
"23 Aug 2021","38780.3","38913.75","38311.7","38489.50"
"20 Aug 2021","37469.25","38741.45","37401.3","38596.05"
"18 Aug 2021","37571.65","37878.85","37538.9","37738.30"
"17 Aug 2021","37014.45","37514","36979.6","37478.55"
"16 Aug 2021","36844.15","37063.3","36703.35","36954.25"
"13 Aug 2021","36674.85","36907.85","36575.8","36842.05"
"12 Aug 2021","36537","36696.05","36457","36521.85"
"11 Aug 2021","36597.25","36641.7","36088.25","36425.85"
"10 Aug 2021","36784.35","36790.4","36286.15","36537.25"
"09 Aug 2021","36816.65","37016.95","36521.3","36691.90"
"06 Aug 2021","36724.15","36813.35","36596.95","36669.80"
"05 Aug 2021","36626.9","36781.55","36320.9","36701.45"
"04 Aug 2021","36909.05","36935.65","36429.4","36482.45"
"03 Aug 2021","36264.1","36885.55","36196.3","36826.05"
"02 Aug 2021","36250.15","36385.45","36123.7","36199.95"
"30 Jul 2021","36055.7","36246.1","35859.9","36051.90"
"29 Jul 2021","36372.6","36469.2","35955.85","35990.05"
"28 Jul 2021","36418.15","36489.05","36194.65","36360.35"
"27 Jul 2021","36551.45","36620.3","36307.35","36360.80"
"26 Jul 2021","36639.15","36746.5","36459.05","36486.75"
"23 Jul 2021","36327.8","36683.6","36210.5","36558.65"
"22 Jul 2021","36429.2","36734","36205.55","36263.60"
"20 Jul 2021","36189.8","36403.15","36110.65","36230.25"
"19 Jul 2021","36073.35","36295.35","36054.75","36180.40"
